alg,in-scale,num-ratings,field,value
ItemItem,81,10,MI-5-corrected,0.117558210398
ItemItem,81,10,MI-10-corrected,0.127365502088
ItemItem,81,10,NGood,247848.4
ItemItem,81,10,MI-81.ByUser,2.32277333621
ItemItem,81,10,MAE.ByUser,3.63832824791
ItemItem,81,10,MI-81-corrected,0.18095062373
ItemItem,81,10,MI-10-corrected.ByUser,-72.7293534819
ItemItem,81,10,MI-2-corrected,0.0710267261932
ItemItem,81,10,NRMSE,0.258993853445
ItemItem,81,10,MI-20-corrected.ByUser,-154.413978047
ItemItem,81,10,MI-20-corrected,0.131717784548
ItemItem,81,10,MI-10,0.129461548346
ItemItem,81,10,MI-5.ByUser,0.708618670642
ItemUserMean,81,10,MI-native-corrected,0.16131109279
ItemUserMean,81,10,MI-81-corrected.ByUser,-653.739965093
ItemUserMean,81,10,MI-native,0.179942615089
ItemUserMean,81,10,NAttempted,247848.4
ItemUserMean,81,10,MI-81,0.179942615089
ItemUserMean,81,10,MI-2.ByUser,0.143014897563
ItemUserMean,81,10,NRMSE.ByUser,0.208970897498
ItemUserMean,81,10,NMAE,0.184213967493
ItemUserMean,81,10,MI-20,0.128458006378
ItemUserMean,81,10,MI-native.ByUser,1.89329047925
ItemUserMean,81,10,NMAE.ByUser,0.180195355002
ItemUserMean,81,10,RMSE.ByUser,4.17941794997
ItemUserMean,81,10,RMSE.ByRating,4.73373931333
ItemUserMean,81,10,NUsers,7809.4
ItemUserMean,81,10,TestTime,16421.8
ItemUserMean,81,10,Coverage,1.0
ItemUserMean,81,10,nDCG,nan
ItemUserMean,81,10,MAE,3.68427934986
ItemUserMean,81,10,MI-5-corrected.ByUser,-32.2765020439
ItemUserMean,81,10,MI-2,0.0663028174437
ItemUserMean,81,10,MI-5,0.11046591094
ItemUserMean,81,10,MI-2-corrected.ByUser,-8.05240079709
ItemUserMean,81,10,BuildTime,10132.4
ItemUserMean,81,10,MI-10.ByUser,0.88217312246
ItemUserMean,81,10,MI-20.ByUser,1.27806322293
ItemUserMean,81,10,MI-5-corrected,0.109534334825
ItemUserMean,81,10,MI-10-corrected,0.119760354014
ItemUserMean,81,10,NGood,247848.4
ItemUserMean,81,10,MI-81.ByUser,1.89329047925
ItemUserMean,81,10,MAE.ByUser,3.60390710004
ItemUserMean,81,10,MI-81-corrected,0.16131109279
ItemUserMean,81,10,MI-10-corrected.ByUser,-72.8765681294
ItemUserMean,81,10,MI-2-corrected,0.066069923415
ItemUserMean,81,10,NRMSE,0.236686965666
ItemUserMean,81,10,MI-20-corrected.ByUser,-154.434834975
ItemUserMean,81,10,MI-20-corrected,0.124033019832
ItemUserMean,81,10,MI-10,0.121856400273
ItemUserMean,81,10,MI-5.ByUser,0.505160734753
ItemItem,10,15,MI-native-corrected,0.202925991127
ItemItem,10,15,MI-81-corrected.ByUser,-38.0088040381
